path,original_sha256,display_sha256,edited_pdf_pages,note
01_Academic/02_Stage_Reports/2026.1.18.pdf,7074c99ca4aa2717c58ec3d9282176bfde8531b9bdb41581998e50fb9b58358d,1ea3b546af0c141ed97c6c175d08a8b1fe06823ad97297c16c84226349f95bec,8,Third-party promotional imagery removed; all other pages render identically.
01_Academic/02_Stage_Reports/2026.2.1.pdf,4a85246ebd084677315d978e76b8a404d0499741779ce2d04b14d510d7c5dad1,e2fb0d37d5f6306cc1e21f39145496c47065f611c48d6ceb0f52085ca3faef61,13,Third-party promotional imagery removed; all other pages render identically.
