path,sha256,comparison,upstream_paths
03_Hardware/05_BOM/Electronics/BOM_LED-PCB.xlsx,17d79c93ef6d8cb6d7491cbfa933d972dbbd88575ff4919e45f962d60aa950c0,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/BOM_LED-PCB_2024-08-18.xlsx
03_Hardware/05_BOM/Mechanical/Project_Master_BOM.xlsx,dabc9d9a6a223cc3f4473868fe6af32bd5dd70fe05e12d8f4c5ffc5b1d54783e,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Assembly_Data/PickAndPlace_LED-PCB.xlsx,f2c1a273f79b1a22768e2ab5be767e60ee9b9f005836e22cc25fec787e8645cd,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/PickAndPlace_LED-PCB_2024-08-18.xlsx
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Drill_NPTH_Through.DRL,eb428ca00a7327cdaed7431d60108bb40f7747ac38b422c5dad79e3c6e5befe0,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Drill_PTH_Through.DRL,e3aa53b5f4d08659365eed78cf5592239e839e6de1caf93c84a677844b6707d4,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Drill_PTH_Through_Via.DRL,c5fd32bc17587fe9f4c82b2f6a31e8548aa2f5342e2cb940075131d0d97c211c,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Fabrication_ColorfulBoardOutlineLayer.FCBO,d9314bd8b2b6fd8b413287b78fc69f45622a90ce27f1ad585e1ae44a13b36891,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Fabrication_ColorfulBoardOutlineLayer.FCBO
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Fabrication_ColorfulBoardOutlineMark.FCBM,e414e7bde02e6848f9c07d1ab8bdba323626ed1db198f6a18671298096aac42a,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Fabrication_ColorfulBottomSilkscreen.FCBS,4ff8be99b0a2f98289a48eb120edf0058ed54768ef1a931d6368c308adcaf0b1,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Fabrication_ColorfulBottomSilkscreen.FCBS
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Fabrication_ColorfulTopSilkscreen.FCTS,778a03a92e5b8f25aea7b7b4c2a7a1c9eaa3a58dbfda85b5d23b1fc368bd6e62,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18/Fabrication_ColorfulTopSilkscreen.FCTS
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/FlyingProbeTesting.json,4d14aee3bc0960b09d454c1ce6bf568eaa775e676a33b5916d223a12b88008ac,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_BoardOutlineLayer.GKO,3dee2066a1932392d223adc62af06b65136f907517858e63ed8509664a7dfc52,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_BottomLayer.GBL,19d6875266e787f07a738889ea4cc67b09adb199b1aec8d8756a0033bf745d76,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_BottomPasteMaskLayer.GBP,37044293df03789d58e98ce3fad4708f89745f1f9ceb1554aaf3146c3ef3b2a6,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_BottomSilkscreenLayer.GBO,b1cabca32771de7987643fcedec46aac0e914d6f89124862de637f17ab99f062,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_BottomSolderMaskLayer.GBS,775849611e3287d93137455a264b0a3a5c19fc6ea08d919fb66de04997f8ef96,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_DocumentLayer.GDL,362a43dd35dd8425ffb3f4822f4dab91a5475d2a46a79b3ef2748ab043f67dc9,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_DrillDrawingLayer.GDD,113a353c0efd79833aae3cbf4bbbb8f53de7edf767ad2d67eeb6be8d3e04f805,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_TopLayer.GTL,19fb54c558d24d8f970101b5b72e4bbb65b99b96577a69e4dde0224df0d8c462,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_TopPasteMaskLayer.GTP,42e5ef7e64faf6d1a9d42512d0aa67d77bf250d3659a6403c9b42511c69c001b,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_TopSilkscreenLayer.GTO,894a1f2e5094e47ae3cda2ddc1a53419113d293b90a366a29de817ca76eb0fce,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/Gerber_TopSolderMaskLayer.GTS,ddd3600188eeaaa44aa1ec7a5cab9ad9082dbfa75869042f0025002ec0d74f81,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber/PCB下单必读.txt,dcb3ee1c645c17a009d70726ad9ab708b68a074556fabcf75a4a059d3b43ec59,No exact byte match; not an authorship conclusion,
03_Hardware/07_PCB_and_Electronics/LED_PCB/Gerber_Archive/Gerber_LED-PCB_.zip,02f264d280e4fc9d2e17e9a3bb21ef369b5bda3022f19f7b1ccc28d1e0d8db56,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/Gerber_LED-PCB_2024-08-18.zip
03_Hardware/07_PCB_and_Electronics/LED_PCB/Source_Project/9DTact_LED_ProEAD.epro,3e5f3be8f51f0324e4d727af5a39e0d74a63afd5c6cd0d8bf54e75eb2756df3c,Exact upstream match,02_Software/Final_Repository_Snapshot/Original/9DTact_Design/LED_PCB/9DTact_LED_ProEAD.epro
